id,name,latitude,longitude,1940,1950,1960,1970,1980,1990,2000,2010
1,Atlanta,33.7489,-84.3881,302288,331314,487455,496973,425022,394017,416474,331314
2,Baltimore,39.2846,-76.7606,859100,949708,939024,905759,786775,736014,651154,620961
3,Chicago,41.85,-87.65,3396808,3620962,3550404,3366957,3005072,2783726,2896016,2695598
4,Dallas,32.7828,-96.8039,294734,434462,679684,844401,904078,1006877,1188580,1197816
5,Denver,39.7392,-104.9842,322412,415786,493887,514678,492365,467610,554636,600158
6,Detroit,42.3524,-83.3794,1623452,1849568,1670144,1511482,1203339,1027974,951270,713777
7,Houston,29.7631,-95.3631,384514,596163,938219,1232802,1595138,1630553,1953631,2099451
8,Los Angeles,34.0522,-118.2428,1504277,1970358,2479015,2816061,2966850,3485398,3694820,3792621
9,Miami,25.7738,-80.1924,172172,249276,291688,334859,346865,358548,362470,399457
10,New York,40.7142,-74.0064,7454995,7891957,7781984,7894862,7071639,7322564,8008278,8175133
11,Philadelphia,39.9522,-75.1642,1931334,2071605,2002512,1948609,1688210,1585577,1517550,1526006
12,Phoenix,33.4539,-112.0746,65414,106818,439170,581562,789704,983403,1321045,1445632
13,San Francisco,37.775,-122.4183,634536,775357,740316,715674,678974,723959,776733,805235
14,Seattle,47.6097,-122.3331,368302,467591,557087,530831,493846,516259,563374,608660
15,Washington,38.89,-77.03,663091,802178,763956,756510,638333,606900,572059,601723
